context,question,answer,base_prediction,lora_prediction,base_rougeL,lora_rougeL,base_bertscore_f1,lora_bertscore_f1,base_numeric_groundedness,lora_numeric_groundedness,base_numeric_recall,lora_numeric_recall,base_numeric_issue,lora_numeric_issue
"TITLE: RIsEStroke (Recovery Insights Into Early Mobility Post Stroke)
SUMMARY: This study is designed to better understand how patients with severe stroke move during their hospital stay. It will track their activity using a small wearable device (activPAL) along with standard mobility information already collected in clinical care. The goal is to learn what typical movement patterns look like early after a stroke and how well patients meet mobility goals while in the hospital. What is learned from this study may allow determination of how treatment for stroke patients may be improved to improve patient long-term mobility.
INCLUSION_CRITERIA:
Adults aged 18 years and older
Hospitalized patients with acute ischemic stroke
Initial National Institutes of Health Stroke Scale (NIHSS) score of 10 or greater
Baseline modified Rankin Scale (mRS) score of 0-2
Current modified Rankin Scale (mRS) score of 3-5",What is the primary goal of the RIsEStroke study?,"The primary goal of the RIsEStroke study is to better understand how patients with severe stroke move during their hospital stay, track their activity using a small wearable device (activPAL) along with standard mobility information already collected in clinical care, and learn what typical movement patterns look like early after a stroke and how well patients meet mobility goals while in the hospital.","The primary goal of the RIsEStroke study is to better understand how patients with severe stroke move during their hospital stay and to learn what typical movement patterns look like early after a stroke, with the aim of improving treatment for stroke patients to enhance long-term mobility.","The primary goal of the RIsEStroke study is to better understand how patients with severe stroke move during their hospital stay and to learn what typical movement patterns look like early after a stroke, with the aim of improving treatment for stroke patients to enhance long-term mobility.",0.6306306306306306,0.6306306306306306,0.9441097,0.9441097,1.0,1.0,1.0,1.0,False,False
"TITLE: RIsEStroke (Recovery Insights Into Early Mobility Post Stroke)
SUMMARY: This study is designed to better understand how patients with severe stroke move during their hospital stay. It will track their activity using a small wearable device (activPAL) along with standard mobility information already collected in clinical care. The goal is to learn what typical movement patterns look like early after a stroke and how well patients meet mobility goals while in the hospital. What is learned from this study may allow determination of how treatment for stroke patients may be improved to improve patient long-term mobility.
INCLUSION_CRITERIA:
Adults aged 18 years and older
Hospitalized patients with acute ischemic stroke
Initial National Institutes of Health Stroke Scale (NIHSS) score of 10 or greater
Baseline modified Rankin Scale (mRS) score of 0-2
Current modified Rankin Scale (mRS) score of 3-5",Could a patient with an initial NIHSS score of 12 and a current mRS score of 4 qualify for this trial?,"Yes, a patient with an initial NIHSS score of 12 and a current mRS score of 4 could qualify for this trial. The inclusion criteria state that patients must have an initial NIHSS score of 10 or greater and a current modified Rankin Scale (mRS) score of 3-5.","Yes, a patient with an initial NIHSS score of 12 and a current mRS score of 4 could qualify for this trial as they meet the inclusion criteria of having an initial NIHSS score of 10 or greater and a current mRS score of 3-5.","Yes, a patient with an initial NIHSS score of 12 and a current mRS score of 4 could qualify for this trial as they meet the inclusion criteria of having an initial NIHSS score of 10 or greater and a current mRS score of 3-5.",0.8842105263157894,0.8842105263157894,0.95902175,0.9590217,0.6666666666666666,0.6666666666666666,1.0,1.0,True,True
"TITLE: RIsEStroke (Recovery Insights Into Early Mobility Post Stroke)
SUMMARY: This study is designed to better understand how patients with severe stroke move during their hospital stay. It will track their activity using a small wearable device (activPAL) along with standard mobility information already collected in clinical care. The goal is to learn what typical movement patterns look like early after a stroke and how well patients meet mobility goals while in the hospital. What is learned from this study may allow determination of how treatment for stroke patients may be improved to improve patient long-term mobility.
INCLUSION_CRITERIA:
Adults aged 18 years and older
Hospitalized patients with acute ischemic stroke
Initial National Institutes of Health Stroke Scale (NIHSS) score of 10 or greater
Baseline modified Rankin Scale (mRS) score of 0-2
Current modified Rankin Scale (mRS) score of 3-5",How old must patients be to participate in the RIsEStroke study?,Patients must be aged 18 years and older to participate in the RIsEStroke study.,Patients must be 18 years or older to participate in the RIsEStroke study.,Patients must be 18 years or older to participate in the RIsEStroke study.,0.888888888888889,0.888888888888889,0.9930786,0.9930786,1.0,1.0,1.0,1.0,False,False
"TITLE: RIsEStroke (Recovery Insights Into Early Mobility Post Stroke)
SUMMARY: This study is designed to better understand how patients with severe stroke move during their hospital stay. It will track their activity using a small wearable device (activPAL) along with standard mobility information already collected in clinical care. The goal is to learn what typical movement patterns look like early after a stroke and how well patients meet mobility goals while in the hospital. What is learned from this study may allow determination of how treatment for stroke patients may be improved to improve patient long-term mobility.
INCLUSION_CRITERIA:
Adults aged 18 years and older
Hospitalized patients with acute ischemic stroke
Initial National Institutes of Health Stroke Scale (NIHSS) score of 10 or greater
Baseline modified Rankin Scale (mRS) score of 0-2
Current modified Rankin Scale (mRS) score of 3-5",I had a stroke and I'm having trouble moving around. Can I get help with physical therapy through this study?,"The RIsEStroke study is designed to track movement patterns and improve treatment for stroke patients, but it does not provide physical therapy directly. Participation in the study may help researchers understand how to better treat stroke patients, which could potentially lead to improved physical therapy protocols in the future.","Yes, you could get help with physical therapy through this study if you meet the eligibility criteria, including being an adult aged 18 years or older, having an acute ischemic stroke, and an initial NIHSS score of 10 or greater, along with a baseline mRS score of 0-2 and a current mRS score of 3-5.","Yes, you can get help with physical therapy through this study. The study aims to track mobility patterns and improve treatment for stroke patients, which may include physical therapy.",0.07547169811320756,0.358974358974359,0.8404327,0.9112876,1.0,1.0,1.0,1.0,False,False
"TITLE: Optimizing Ancillary Therapies (Acetaminophen, Cannabis, Antihistamines, and NSAIDS) With Immune Checkpoint Inhibitors for Solid Tumors (OAT ICI)
SUMMARY: This study evaluates whether optimization of ancillary therapies can improve the efficacy of immune checkpoint therapy in participants with solid tumors. The ancillary therapies being optimized include the avoidance of daily acetaminophen and cannabis/THC/CBD while prescribing aspirin and loratadine. The goal is to see if optimizing these four drugs can improve the efficacy of the treatment compared to a matched historical control.
INCLUSION_CRITERIA:
Solid tumor patients with measurable disease. Including patients with early stage and advanced stage cancer.
Patients who are to get neoadjuvant or induction therapy prior to planned surgery or radiation are included if definitive therapy is planned to occur at least 18 weeks after ICI initiation.
Treatment plan includes an immune checkpoint inhibitor (PD1 or PD-L1 inhibitor) as standard of care. Standard of care will be determined by referring to the NCCN guidelines. For rare situations where a disease is not found in the NCCN guideline, the treatment must be considered standard of care at the MCC.
ECOG Performance Status 0-3.
Life expectancy of at least 3 months.
Adequate hematologic, renal and hepatic function based on institutional standards.
Must be willing to stop/not start daily acetaminophen during the study period
Must be willing to stop/not start THC-containing agent (e.g., medical or recreational marijuana, CBD) during the study period
Patients willing to take a second-generation antihistamine (loratadine) and an NSAID (aspirin). Patients already taking a daily antihistamine and/or NSAID can participate and will continue the class of drug already being taken
Ability to understand and the willingness to follow study procedures, including urine testing for THC.
Ability to understand and the willingness to sign a written informed consent document.",What is the main goal of this clinical trial regarding immune checkpoint therapy in solid tumors?,The main goal of this clinical trial is to evaluate whether optimization of ancillary therapies can improve the efficacy of immune checkpoint therapy in participants with solid tumors.,The main goal of this clinical trial is to evaluate whether optimization of ancillary therapies can improve the efficacy of immune checkpoint therapy in participants with solid tumors.,The main goal of this clinical trial is to evaluate whether optimization of ancillary therapies can improve the efficacy of immune checkpoint therapy in participants with solid tumors.,1.0,1.0,0.9999998,0.9999998,1.0,1.0,1.0,1.0,False,False
"TITLE: Optimizing Ancillary Therapies (Acetaminophen, Cannabis, Antihistamines, and NSAIDS) With Immune Checkpoint Inhibitors for Solid Tumors (OAT ICI)
SUMMARY: This study evaluates whether optimization of ancillary therapies can improve the efficacy of immune checkpoint therapy in participants with solid tumors. The ancillary therapies being optimized include the avoidance of daily acetaminophen and cannabis/THC/CBD while prescribing aspirin and loratadine. The goal is to see if optimizing these four drugs can improve the efficacy of the treatment compared to a matched historical control.
INCLUSION_CRITERIA:
Solid tumor patients with measurable disease. Including patients with early stage and advanced stage cancer.
Patients who are to get neoadjuvant or induction therapy prior to planned surgery or radiation are included if definitive therapy is planned to occur at least 18 weeks after ICI initiation.
Treatment plan includes an immune checkpoint inhibitor (PD1 or PD-L1 inhibitor) as standard of care. Standard of care will be determined by referring to the NCCN guidelines. For rare situations where a disease is not found in the NCCN guideline, the treatment must be considered standard of care at the MCC.
ECOG Performance Status 0-3.
Life expectancy of at least 3 months.
Adequate hematologic, renal and hepatic function based on institutional standards.
Must be willing to stop/not start daily acetaminophen during the study period
Must be willing to stop/not start THC-containing agent (e.g., medical or recreational marijuana, CBD) during the study period
Patients willing to take a second-generation antihistamine (loratadine) and an NSAID (aspirin). Patients already taking a daily antihistamine and/or NSAID can participate and will continue the class of drug already being taken
Ability to understand and the willingness to follow study procedures, including urine testing for THC.
Ability to understand and the willingness to sign a written informed consent document.",Could I qualify for this study if I have early-stage cancer and am scheduled to receive neoadjuvant therapy before surgery?,"Yes, you could qualify for this study if you have early-stage cancer and are scheduled to receive neoadjuvant therapy before surgery, as long as definitive therapy is planned to occur at least 18 weeks after ICI initiation.","{'can_qualify': True, 'criteria': ['Early-stage cancer', 'Scheduled to receive neoadjuvant therapy before surgery', 'Definitive therapy planned to occur at least 18 weeks after ICI initiation']}","Yes, you could qualify for this study if you have early-stage cancer and are scheduled to receive neoadjuvant therapy before surgery, as long as you meet all other inclusion criteria such as having measurable disease, an ECOG Performance Status of 0-3, life expectancy of at least 3 months, adequate hematologic, renal, and hepatic function, and willingness to stop daily acetaminophen and THC-containing agents during the study period.",0.71875,0.5,0.89202094,0.9032727,1.0,1.0,1.0,0.0,False,False
"TITLE: Optimizing Ancillary Therapies (Acetaminophen, Cannabis, Antihistamines, and NSAIDS) With Immune Checkpoint Inhibitors for Solid Tumors (OAT ICI)
SUMMARY: This study evaluates whether optimization of ancillary therapies can improve the efficacy of immune checkpoint therapy in participants with solid tumors. The ancillary therapies being optimized include the avoidance of daily acetaminophen and cannabis/THC/CBD while prescribing aspirin and loratadine. The goal is to see if optimizing these four drugs can improve the efficacy of the treatment compared to a matched historical control.
INCLUSION_CRITERIA:
Solid tumor patients with measurable disease. Including patients with early stage and advanced stage cancer.
Patients who are to get neoadjuvant or induction therapy prior to planned surgery or radiation are included if definitive therapy is planned to occur at least 18 weeks after ICI initiation.
Treatment plan includes an immune checkpoint inhibitor (PD1 or PD-L1 inhibitor) as standard of care. Standard of care will be determined by referring to the NCCN guidelines. For rare situations where a disease is not found in the NCCN guideline, the treatment must be considered standard of care at the MCC.
ECOG Performance Status 0-3.
Life expectancy of at least 3 months.
Adequate hematologic, renal and hepatic function based on institutional standards.
Must be willing to stop/not start daily acetaminophen during the study period
Must be willing to stop/not start THC-containing agent (e.g., medical or recreational marijuana, CBD) during the study period
Patients willing to take a second-generation antihistamine (loratadine) and an NSAID (aspirin). Patients already taking a daily antihistamine and/or NSAID can participate and will continue the class of drug already being taken
Ability to understand and the willingness to follow study procedures, including urine testing for THC.
Ability to understand and the willingness to sign a written informed consent document.","How old do I need to be to participate in this clinical trial, and what is the minimum life expectancy required?",The context does not provide an age limit for participation in this clinical trial. The minimum life expectancy required is at least 3 months.,"The minimum age requirement is not explicitly stated in the provided context. However, the inclusion criteria specify that patients must have an ECOG Performance Status of 0-3 and a life expectancy of at least 3 months.","The context does not provide specific age limits for participation in this clinical trial. However, it does state that patients must have an ECOG Performance Status of 0-3 and a life expectancy of at least 3 months.",0.3278688524590164,0.6129032258064516,0.9053296,0.9367759,1.0,1.0,1.0,1.0,False,False
"TITLE: Optimizing Ancillary Therapies (Acetaminophen, Cannabis, Antihistamines, and NSAIDS) With Immune Checkpoint Inhibitors for Solid Tumors (OAT ICI)
SUMMARY: This study evaluates whether optimization of ancillary therapies can improve the efficacy of immune checkpoint therapy in participants with solid tumors. The ancillary therapies being optimized include the avoidance of daily acetaminophen and cannabis/THC/CBD while prescribing aspirin and loratadine. The goal is to see if optimizing these four drugs can improve the efficacy of the treatment compared to a matched historical control.
INCLUSION_CRITERIA:
Solid tumor patients with measurable disease. Including patients with early stage and advanced stage cancer.
Patients who are to get neoadjuvant or induction therapy prior to planned surgery or radiation are included if definitive therapy is planned to occur at least 18 weeks after ICI initiation.
Treatment plan includes an immune checkpoint inhibitor (PD1 or PD-L1 inhibitor) as standard of care. Standard of care will be determined by referring to the NCCN guidelines. For rare situations where a disease is not found in the NCCN guideline, the treatment must be considered standard of care at the MCC.
ECOG Performance Status 0-3.
Life expectancy of at least 3 months.
Adequate hematologic, renal and hepatic function based on institutional standards.
Must be willing to stop/not start daily acetaminophen during the study period
Must be willing to stop/not start THC-containing agent (e.g., medical or recreational marijuana, CBD) during the study period
Patients willing to take a second-generation antihistamine (loratadine) and an NSAID (aspirin). Patients already taking a daily antihistamine and/or NSAID can participate and will continue the class of drug already being taken
Ability to understand and the willingness to follow study procedures, including urine testing for THC.
Ability to understand and the willingness to sign a written informed consent document.","I'm taking acetaminophen daily for my pain. Can I still join this study, or do I need to stop it?","You need to stop taking acetaminophen daily for the study period, as one of the inclusion criteria is the willingness to stop/not start daily acetaminophen during the study period.",You would need to stop taking acetaminophen daily during the study period. The inclusion criteria specify that participants must be willing to stop/not start daily acetaminophen during the study period.,"You cannot join this study if you are taking acetaminophen daily for your pain, as the inclusion criteria specify that patients must be willing to stop/not start daily acetaminophen during the study period.",0.7540983606557377,0.59375,0.9643467,0.9446335,1.0,1.0,1.0,1.0,False,False
"TITLE: First-In-Human, Open-Label Trial to Evaluate the Safety, Pharmacokinetics, and Preliminary Efficacy of GEN1119 in Participants With Solid Tumors
SUMMARY: The purpose of this trial is to learn about the safety and efficacy of GEN1119 when it is used for the treatment of participants with certain types of cancer.
The trial has multiple parts. The first part of the trial will test different doses of GEN1119 to find out if it is safe and to determine what are the best doses to use. The second part will further refine this optimal dose. The third part continues to test the safety and how well GEN1119 works in additional participants with specific cancer types and at doses chosen based on the results of the first 2 parts of the trial.
For each participant, the trial will last approximately 18 months but this may vary for each individual. This includes a Screening Period of up to 21 days before receiving trial treatment, an estimated 5 months of treatment (the duration of treatment may vary for each participant), and approximately 12.5 months of follow up after trial treatment ends (the duration of follow up may vary for each participant).
Participation in the trial will require visits to the site, with more frequent visits during the first 6 weeks of treatment and then less frequent visits afterwards. At site visits, there will be various tests (such as blood draws) and procedures (such as recording of heart activity, computed tomography \[CT\] scans) to monitor whether the treatment is safe and effective. All participants will receive active drug; no one will be given placebo.
INCLUSION_CRITERIA:
Have histologically or cytologically confirmed diagnosis of protocol-specified solid tumours.
Have progressed on standard of care (SoC) therapy applicable for the tumor type, or for whom there is no available SoC therapy likely to provide clinical benefit, and for whom experimental therapy with GEN1119 may be a suitable option in the opinion of the investigator.
Have measurable disease according to Response Evaluation Criteria in Solid Tumors (RECIST) v1.1.
Have acceptable laboratory test results before GEN1119 administration per protocol
Key",What is the primary purpose of this clinical trial?,The primary purpose of this clinical trial is to learn about the safety and efficacy of GEN1119 when it is used for the treatment of participants with certain types of cancer.,The primary purpose of this clinical trial is to learn about the safety and efficacy of GEN1119 when it is used for the treatment of participants with certain types of cancer.,The primary purpose of this clinical trial is to learn about the safety and efficacy of GEN1119 when it is used for the treatment of participants with certain types of cancer.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
"TITLE: First-In-Human, Open-Label Trial to Evaluate the Safety, Pharmacokinetics, and Preliminary Efficacy of GEN1119 in Participants With Solid Tumors
SUMMARY: The purpose of this trial is to learn about the safety and efficacy of GEN1119 when it is used for the treatment of participants with certain types of cancer.
The trial has multiple parts. The first part of the trial will test different doses of GEN1119 to find out if it is safe and to determine what are the best doses to use. The second part will further refine this optimal dose. The third part continues to test the safety and how well GEN1119 works in additional participants with specific cancer types and at doses chosen based on the results of the first 2 parts of the trial.
For each participant, the trial will last approximately 18 months but this may vary for each individual. This includes a Screening Period of up to 21 days before receiving trial treatment, an estimated 5 months of treatment (the duration of treatment may vary for each participant), and approximately 12.5 months of follow up after trial treatment ends (the duration of follow up may vary for each participant).
Participation in the trial will require visits to the site, with more frequent visits during the first 6 weeks of treatment and then less frequent visits afterwards. At site visits, there will be various tests (such as blood draws) and procedures (such as recording of heart activity, computed tomography \[CT\] scans) to monitor whether the treatment is safe and effective. All participants will receive active drug; no one will be given placebo.
INCLUSION_CRITERIA:
Have histologically or cytologically confirmed diagnosis of protocol-specified solid tumours.
Have progressed on standard of care (SoC) therapy applicable for the tumor type, or for whom there is no available SoC therapy likely to provide clinical benefit, and for whom experimental therapy with GEN1119 may be a suitable option in the opinion of the investigator.
Have measurable disease according to Response Evaluation Criteria in Solid Tumors (RECIST) v1.1.
Have acceptable laboratory test results before GEN1119 administration per protocol
Key",Could I qualify for this trial if I have a confirmed diagnosis of solid tumors and have progressed on standard of care therapy?,"{'could_qualify': True, 'inclusion_criteria': ['Have histologically or cytologically confirmed diagnosis of protocol-specified solid tumours.', 'Have progressed on standard of care (SoC) therapy applicable for the tumor type, or for whom there is no available SoC therapy likely to provide clinical benefit, and for whom experimental therapy with GEN1119 may be a suitable option in the opinion of the investigator.']}","Yes, you could qualify for this trial if you have a confirmed diagnosis of solid tumors and have progressed on standard of care therapy, as these criteria are explicitly stated in the inclusion criteria.","Yes, you could qualify for this trial if you have a confirmed diagnosis of solid tumors and have progressed on standard of care therapy, as these are among the inclusion criteria.",0.33684210526315794,0.3260869565217391,0.8613861,0.86321884,1.0,1.0,1.0,1.0,False,False
